,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,The Shawshank Redemption,1994,86,9.3,80.0,52480,28.34
1,The Godfather,1972,86,9.2,100.0,52480,134.97
2,The Dark Knight,2008,86,9.0,84.0,52480,534.86
3,The Godfather: Part II,1974,86,9.0,90.0,52480,57.3
4,12 Angry Men,1957,86,9.0,96.0,52480,4.36
5,The Lord of the Rings: The Return of the King,2003,86,8.9,94.0,52480,377.85
6,Pulp Fiction,1994,86,8.9,94.0,52480,107.93
7,Schindler's List,1993,86,8.9,94.0,52480,96.9
8,Inception,2010,86,8.8,74.0,52480,292.58
9,Fight Club,1999,86,8.8,66.0,52480,37.03
10,The Lord of the Rings: The Fellowship of the Ring,2001,86,8.8,92.0,52480,315.54
11,Forrest Gump,1994,86,8.8,82.0,52480,330.25
12,"The Good, the Bad and the Ugly",1966,86,8.8,90.0,52480,6.1
13,The Lord of the Rings: The Two Towers,2002,86,8.7,87.0,52480,342.55
14,The Matrix,1999,86,8.7,73.0,52480,171.48
15,Goodfellas,1990,86,8.7,90.0,52480,46.84
16,Star Wars: Episode V - The Empire Strikes Back,1980,86,8.7,82.0,52480,290.48
17,One Flew Over the Cuckoo's Nest,1975,86,8.7,83.0,52480,112.0
18,Parasite,2019,86,8.6,96.0,52480,53.37
19,Soorarai Pottru,2020,86,8.6,None Given,52480,Not calculated
20,Interstellar,2014,86,8.6,74.0,52480,188.02
21,City of God,2002,86,8.6,79.0,52480,7.56
22,Spirited Away,2001,86,8.6,96.0,52480,10.06
23,Saving Private Ryan,1998,86,8.6,91.0,52480,216.54
24,The Green Mile,1999,86,8.6,61.0,52480,136.8
25,Life Is Beautiful,1997,86,8.6,59.0,52480,57.6
26,Se7en,1995,86,8.6,65.0,52480,100.13
27,The Silence of the Lambs,1991,86,8.6,85.0,52480,130.74
28,Star Wars: Episode IV - A New Hope,1977,86,8.6,90.0,52480,322.74
29,Hara-Kiri,1962,86,8.6,85.0,52480,Not calculated
30,Seven Samurai,1954,86,8.6,98.0,52480,0.27
31,It's a Wonderful Life,1946,86,8.6,89.0,52480,Not calculated
32,Hamilton,2020,86,8.5,90.0,52480,Not calculated
33,Raatchasan,2018,86,8.5,None Given,52480,Not calculated
34,Whiplash,2014,86,8.5,88.0,52480,13.09
35,The Intouchables,2011,86,8.5,57.0,52480,13.18
36,The Prestige,2006,86,8.5,66.0,52480,53.09
37,The Departed,2006,86,8.5,85.0,52480,132.38
38,The Pianist,2002,86,8.5,85.0,52480,32.57
39,Gladiator,2000,86,8.5,67.0,52480,187.71
40,American History X,1998,86,8.5,62.0,52480,6.72
41,The Usual Suspects,1995,86,8.5,77.0,52480,23.34
42,Léon: The Professional,1994,86,8.5,64.0,52480,19.5
43,The Lion King,1994,86,8.5,88.0,52480,422.78
44,Terminator 2: Judgment Day,1991,86,8.5,75.0,52480,204.84
45,Cinema Paradiso,1988,86,8.5,80.0,52480,11.99
46,Grave of the Fireflies,1988,86,8.5,94.0,52480,Not calculated
47,Back to the Future,1985,86,8.5,87.0,52480,210.61
48,Once Upon a Time in the West,1968,86,8.5,80.0,52480,5.32
49,Psycho,1960,86,8.5,97.0,52480,32.0
50,Casablanca,1942,86,8.5,100.0,52480,1.02
51,Modern Times,1936,86,8.5,96.0,52480,0.16
52,City Lights,1931,86,8.5,99.0,52480,0.02
53,Capernaum,2018,86,8.4,75.0,52480,1.66
54,Joker,2019,86,8.4,59.0,52480,335.45
55,Ayla: The Daughter of War,2017,86,8.4,None Given,52480,Not calculated
56,Vikram Vedha,2017,86,8.4,None Given,52480,Not calculated
57,Your Name.,2016,86,8.4,79.0,52480,5.02
58,Dangal,2016,86,8.4,None Given,52480,12.39
59,Spider-Man: Into the Spider-Verse,2018,86,8.4,87.0,52480,190.24
60,Avengers: Endgame,2019,86,8.4,78.0,52480,858.37
61,Avengers: Infinity War,2018,86,8.4,68.0,52480,678.82
62,Drishyam,2013,86,8.4,None Given,52480,Not calculated
63,Coco,2017,86,8.4,81.0,52480,209.73
64,Django Unchained,2012,86,8.4,81.0,52480,162.81
65,The Dark Knight Rises,2012,86,8.4,78.0,52480,448.14
66,3 Idiots,2009,86,8.4,67.0,52480,6.53
67,Like Stars on Earth,2007,86,8.4,None Given,52480,1.22
68,WALL·E,2008,86,8.4,95.0,52480,223.81
69,The Lives of Others,2006,86,8.4,89.0,52480,11.29
70,Oldboy,2003,86,8.4,77.0,52480,0.71
71,Memento,2000,86,8.4,80.0,52480,25.54
72,Princess Mononoke,1997,86,8.4,76.0,52480,2.38
